counts,number of items in equivalence class,isoforms in equivalence class
2,6,"ENST00000322536,ENST00000648124,ENST00000686283,ENST00000686617,ENST00000687072,ENST00000688976"
2,3,"ENST00000358780,ENST00000398187,ENST00000543641"
2,2,"ENST00000536813,ENST00000650101"
2,1,ENST00000543641
2,7,"ENST00000530165,ENST00000531354,ENST00000531863,ENST00000532019,ENST00000532677,ENST00000533725,ENST00000541961"
2,3,"ENST00000450171,ENST00000635736,ENST00000638157"
2,2,"ENST00000530620,ENST00000540113"
2,8,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000542179,ENST00000543445"
2,2,"ENST00000526515,ENST00000531863"
2,1,ENST00000533729
2,6,"ENST00000278856,ENST00000311713,ENST00000525239,ENST00000525752,ENST00000529106,ENST00000536401"
2,10,"ENST00000256190,ENST00000533770,ENST00000675281,ENST00000676324,ENST00000687210,ENST00000689128,ENST00000689258,ENST00000689940,ENST00000692716,ENST00000693022"
2,2,"ENST00000311320,ENST00000530745"
2,2,"ENST00000526815,ENST00000527251"
2,1,ENST00000492141
2,3,"ENST00000640813,ENST00000648026,ENST00000649868"
2,13,"ENST00000337908,ENST00000343968,ENST00000529950,ENST00000532114,ENST00000649552,ENST00000679553,ENST00000680301,ENST00000680537,ENST00000680757,ENST00000680935,ENST00000681157,ENST00000681288,ENST00000681406"
2,1,ENST00000301887
2,2,"ENST00000528288,ENST00000617482"
2,10,"ENST00000318312,ENST00000393994,ENST00000419755,ENST00000525809,ENST00000526760,ENST00000527251,ENST00000532908,ENST00000533557,ENST00000533644,ENST00000630659"
2,2,"ENST00000299576,ENST00000309357"
2,4,"ENST00000382409,ENST00000683307,ENST00000690068,ENST00000692634"
2,1,ENST00000546201
2,2,"ENST00000526799,ENST00000530995"
2,5,"ENST00000318312,ENST00000393994,ENST00000455748,ENST00000525809,ENST00000533644"
2,2,"ENST00000434945,ENST00000530529"
2,4,"ENST00000278499,ENST00000416495,ENST00000536441,ENST00000634898"
2,2,"ENST00000265978,ENST00000524416"
2,3,"ENST00000526120,ENST00000530527,ENST00000646648"
2,4,"ENST00000354421,ENST00000528288,ENST00000540113,ENST00000617482"
2,9,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000530995,ENST00000532802,ENST00000533842"
2,7,"ENST00000524458,ENST00000526035,ENST00000526760,ENST00000527251,ENST00000532908,ENST00000533557,ENST00000630659"
2,12,"ENST00000313074,ENST00000377702,ENST00000411458,ENST00000438980,ENST00000536667,ENST00000538032,ENST00000539833,ENST00000539851,ENST00000541952,ENST00000543383,ENST00000546139,ENST00000546201"
2,15,"ENST00000354024,ENST00000377485,ENST00000377486,ENST00000377487,ENST00000377489,ENST00000377494,ENST00000377497,ENST00000394428,ENST00000394429,ENST00000394430,ENST00000394432,ENST00000421556,ENST00000431822,ENST00000441258,ENST00000445445"
2,2,"ENST00000524928,ENST00000531419"
2,4,"ENST00000301886,ENST00000352068,ENST00000377244,ENST00000529673"
2,1,ENST00000684409
2,4,"ENST00000278422,ENST00000673781,ENST00000673810,ENST00000674116"
2,1,ENST00000635736
2,7,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000532802"
2,3,"ENST00000340252,ENST00000356632,ENST00000358658"
2,3,"ENST00000340252,ENST00000355721,ENST00000358658"
2,6,"ENST00000399808,ENST00000679382,ENST00000680209,ENST00000681198,ENST00000681304,ENST00000681840"
2,6,"ENST00000450171,ENST00000529432,ENST00000529750,ENST00000635736,ENST00000638086,ENST00000646146"
2,5,"ENST00000398984,ENST00000526153,ENST00000532442,ENST00000638529,ENST00000651255"
2,4,"ENST00000308022,ENST00000393877,ENST00000536020,ENST00000545682"
2,1,ENST00000525035
2,1,ENST00000528679
2,1,ENST00000693181
2,1,ENST00000673834
2,11,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000530995,ENST00000532802,ENST00000533340,ENST00000533753,ENST00000533842"
2,1,ENST00000325542
2,1,ENST00000533602
2,1,ENST00000379936
2,16,"ENST00000320230,ENST00000481290,ENST00000526152,ENST00000527723,ENST00000527734,ENST00000528606,ENST00000529351,ENST00000531214,ENST00000531437,ENST00000531514,ENST00000531534,ENST00000532484,ENST00000533385,ENST00000625419,ENST00000627843,ENST00000628067"
2,17,"ENST00000256190,ENST00000675281,ENST00000676324,ENST00000676387,ENST00000686079,ENST00000687256,ENST00000687300,ENST00000688206,ENST00000689128,ENST00000689258,ENST00000689940,ENST00000690806,ENST00000692068,ENST00000692716,ENST00000693022,ENST00000693201,ENST00000693212"
2,4,"ENST00000316851,ENST00000615112,ENST00000615285,ENST00000618266"
2,1,ENST00000686218
2,1,ENST00000536667
2,2,"ENST00000525239,ENST00000525752"
2,2,"ENST00000536667,ENST00000539833"
2,1,ENST00000533076
2,1,ENST00000531974
2,3,"ENST00000536667,ENST00000539833,ENST00000539851"
2,2,"ENST00000349459,ENST00000532970"
2,2,"ENST00000308022,ENST00000535813"
2,7,"ENST00000256733,ENST00000414546,ENST00000524555,ENST00000526900,ENST00000528349,ENST00000529528,ENST00000530400"
2,1,ENST00000544522
2,15,"ENST00000320230,ENST00000456706,ENST00000481290,ENST00000526152,ENST00000527723,ENST00000528606,ENST00000528936,ENST00000531214,ENST00000531534,ENST00000532484,ENST00000533385,ENST00000625419,ENST00000625752,ENST00000627843,ENST00000628067"
2,1,ENST00000530809
2,4,"ENST00000358246,ENST00000528215,ENST00000530614,ENST00000534016"
2,4,"ENST00000265459,ENST00000301894,ENST00000377559,ENST00000409571"
2,1,ENST00000528349
2,12,"ENST00000426335,ENST00000524586,ENST00000524782,ENST00000525314,ENST00000525398,ENST00000527927,ENST00000528041,ENST00000528444,ENST00000530596,ENST00000532438,ENST00000533243,ENST00000627920"
2,2,"ENST00000396777,ENST00000614314"
2,4,"ENST00000301887,ENST00000435842,ENST00000527716,ENST00000534177"
2,2,"ENST00000528846,ENST00000614153"
2,5,"ENST00000298838,ENST00000528462,ENST00000532457,ENST00000533686,ENST00000539589"
2,1,ENST00000439069
2,18,"ENST00000256190,ENST00000675281,ENST00000676324,ENST00000676387,ENST00000686079,ENST00000687256,ENST00000687300,ENST00000688206,ENST00000688739,ENST00000689128,ENST00000689258,ENST00000689940,ENST00000690806,ENST00000692068,ENST00000692716,ENST00000693022,ENST00000693201,ENST00000693212"
2,15,"ENST00000361796,ENST00000399050,ENST00000415361,ENST00000525902,ENST00000526938,ENST00000527467,ENST00000528232,ENST00000529919,ENST00000530748,ENST00000532844,ENST00000673810,ENST00000673826,ENST00000674060,ENST00000674106,ENST00000674116"
2,1,ENST00000527089
2,9,"ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000394376,ENST00000450708,ENST00000672304"
2,3,"ENST00000003302,ENST00000540438,ENST00000545540"
2,1,ENST00000538209
2,2,"ENST00000545756,ENST00000618733"
2,8,"ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000450708,ENST00000672304"
2,2,"ENST00000397583,ENST00000454668"
2,2,"ENST00000256996,ENST00000617847"
2,1,ENST00000315422
2,5,"ENST00000264021,ENST00000528378,ENST00000533918,ENST00000534156,ENST00000672656"
2,8,"ENST00000377890,ENST00000377891,ENST00000538084,ENST00000680002,ENST00000680725,ENST00000680729,ENST00000681467,ENST00000681569"
2,1,ENST00000533678
2,2,"ENST00000680002,ENST00000680729"
2,1,ENST00000440873
2,6,"ENST00000392841,ENST00000542729,ENST00000544387,ENST00000648374,ENST00000652429,ENST00000686218"
2,4,"ENST00000337911,ENST00000405633,ENST00000429322,ENST00000528170"
2,3,"ENST00000337911,ENST00000405633,ENST00000528170"
2,1,ENST00000538032
2,4,"ENST00000298838,ENST00000532457,ENST00000533686,ENST00000539589"
2,12,"ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000533678,ENST00000533991,ENST00000534683,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000647231"
2,8,"ENST00000426335,ENST00000524782,ENST00000527776,ENST00000527927,ENST00000532438,ENST00000532478,ENST00000533243,ENST00000627920"
2,14,"ENST00000426335,ENST00000524586,ENST00000524782,ENST00000525314,ENST00000525398,ENST00000526342,ENST00000527927,ENST00000528444,ENST00000528708,ENST00000529439,ENST00000529455,ENST00000530596,ENST00000532438,ENST00000627920"
2,2,"ENST00000428599,ENST00000526938"
2,32,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000525902,ENST00000526357,ENST00000526772,ENST00000527467,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531014,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000533667,ENST00000534579,ENST00000673826,ENST00000682621,ENST00000683201,ENST00000683769"
2,19,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000538084,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000681107,ENST00000681467,ENST00000681569,ENST00000681657"
2,1,ENST00000534579
2,1,ENST00000264020
2,1,ENST00000433274
2,6,"ENST00000355661,ENST00000525581,ENST00000530489,ENST00000531066,ENST00000636113,ENST00000637162"
2,3,"ENST00000526216,ENST00000610738,ENST00000614153"
2,2,"ENST00000299596,ENST00000611268"
2,4,"ENST00000308127,ENST00000376757,ENST00000532181,ENST00000532881"
2,1,ENST00000530136
2,21,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000538084,ENST00000539458,ENST00000541425,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681107,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
2,1,ENST00000681184
2,16,"ENST00000251871,ENST00000533133,ENST00000533359,ENST00000638487,ENST00000638518,ENST00000638767,ENST00000638790,ENST00000639189,ENST00000639457,ENST00000639523,ENST00000639596,ENST00000639724,ENST00000640027,ENST00000640077,ENST00000640451,ENST00000640521"
2,14,"ENST00000426335,ENST00000524586,ENST00000524782,ENST00000525314,ENST00000525398,ENST00000526342,ENST00000527927,ENST00000528041,ENST00000528444,ENST00000530596,ENST00000532438,ENST00000533243,ENST00000627920,ENST00000629231"
2,8,"ENST00000393955,ENST00000393958,ENST00000393960,ENST00000529047,ENST00000651036,ENST00000651469,ENST00000651854,ENST00000652125"
2,2,"ENST00000542139,ENST00000544620"
2,2,"ENST00000397583,ENST00000531112"
2,1,ENST00000544620
2,1,ENST00000528117
2,22,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000536981,ENST00000538084,ENST00000539507,ENST00000539891,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
2,8,"ENST00000299882,ENST00000536856,ENST00000538955,ENST00000540540,ENST00000544476,ENST00000544634,ENST00000545579,ENST00000645981"
2,2,"ENST00000397801,ENST00000538940"
2,3,"ENST00000528306,ENST00000530393,ENST00000533463"
2,3,"ENST00000307823,ENST00000445895,ENST00000687366"
2,1,ENST00000533645
2,3,"ENST00000395074,ENST00000528489,ENST00000530561"
2,6,"ENST00000528498,ENST00000528900,ENST00000530301,ENST00000530749,ENST00000645312,ENST00000647231"
2,4,"ENST00000345732,ENST00000532073,ENST00000532491,ENST00000534668"
2,1,ENST00000409738
2,6,"ENST00000311129,ENST00000341980,ENST00000426998,ENST00000527614,ENST00000531373,ENST00000534500"
2,5,"ENST00000320631,ENST00000359393,ENST00000411683,ENST00000433803,ENST00000621096"
2,1,ENST00000527143
2,1,ENST00000537419
2,2,"ENST00000393979,ENST00000412278"
2,1,ENST00000529876
2,1,ENST00000527896
2,3,"ENST00000422652,ENST00000436147,ENST00000527995"
2,3,"ENST00000300190,ENST00000531403,ENST00000533885"
2,1,ENST00000641291
2,1,ENST00000531074
2,3,"ENST00000375614,ENST00000436913,ENST00000525866"
2,1,ENST00000334801
2,9,"ENST00000300187,ENST00000395001,ENST00000395005,ENST00000525397,ENST00000526375,ENST00000527841,ENST00000530662,ENST00000531783,ENST00000531949"
2,1,ENST00000526252
2,1,ENST00000680725
2,10,"ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859,ENST00000444117"
2,6,"ENST00000345732,ENST00000528313,ENST00000532073,ENST00000532491,ENST00000533306,ENST00000534668"
2,10,"ENST00000405853,ENST00000407404,ENST00000436029,ENST00000436778,ENST00000437276,ENST00000441012,ENST00000444396,ENST00000449369,ENST00000457932,ENST00000467728"
2,2,"ENST00000408993,ENST00000530235"
2,9,"ENST00000375614,ENST00000375615,ENST00000436913,ENST00000525126,ENST00000525866,ENST00000528924,ENST00000530962,ENST00000533265,ENST00000533999"
2,1,ENST00000393055
2,6,"ENST00000450448,ENST00000525077,ENST00000527089,ENST00000528542,ENST00000530183,ENST00000533803"
2,1,ENST00000531398
2,10,"ENST00000392841,ENST00000442944,ENST00000537841,ENST00000543090,ENST00000545621,ENST00000648026,ENST00000648374,ENST00000650101,ENST00000652429,ENST00000686218"
2,14,"ENST00000251871,ENST00000533133,ENST00000638487,ENST00000638518,ENST00000638767,ENST00000638790,ENST00000639189,ENST00000639523,ENST00000639596,ENST00000639724,ENST00000640027,ENST00000640077,ENST00000640451,ENST00000640473"
2,2,"ENST00000341307,ENST00000536011"
2,1,ENST00000638767
2,1,ENST00000312989
2,8,"ENST00000256996,ENST00000378600,ENST00000378601,ENST00000378603,ENST00000610805,ENST00000614825,ENST00000616278,ENST00000622878"
2,2,"ENST00000526280,ENST00000534405"
2,1,ENST00000531303
2,2,"ENST00000688206,ENST00000693201"
2,1,ENST00000672787
2,3,"ENST00000332793,ENST00000533483,ENST00000682643"
2,4,"ENST00000528725,ENST00000680554,ENST00000680742,ENST00000681158"
2,16,"ENST00000392841,ENST00000535253,ENST00000535793,ENST00000536813,ENST00000537841,ENST00000542729,ENST00000543090,ENST00000544387,ENST00000545621,ENST00000640813,ENST00000648026,ENST00000648374,ENST00000648488,ENST00000649868,ENST00000652429,ENST00000686218"
2,6,"ENST00000342245,ENST00000526280,ENST00000527275,ENST00000530395,ENST00000533123,ENST00000534405"
2,3,"ENST00000332814,ENST00000375618,ENST00000529167"
2,13,"ENST00000313074,ENST00000377702,ENST00000411458,ENST00000438980,ENST00000536667,ENST00000538032,ENST00000539833,ENST00000539851,ENST00000541952,ENST00000542190,ENST00000543383,ENST00000546139,ENST00000546201"
2,2,"ENST00000544253,ENST00000544612"
2,1,ENST00000481889
2,1,ENST00000686079
2,2,"ENST00000393084,ENST00000525729"
2,15,"ENST00000320230,ENST00000481290,ENST00000526152,ENST00000527723,ENST00000528606,ENST00000529351,ENST00000531214,ENST00000531437,ENST00000531514,ENST00000531534,ENST00000532484,ENST00000533385,ENST00000625419,ENST00000627843,ENST00000628067"
2,1,ENST00000318562
2,1,ENST00000526659
2,1,ENST00000525422
2,2,"ENST00000524612,ENST00000680141"
2,1,ENST00000533465
2,3,"ENST00000309295,ENST00000533237,ENST00000533465"
2,7,"ENST00000309737,ENST00000335425,ENST00000343202,ENST00000425599,ENST00000526962,ENST00000528463,ENST00000531450"
2,6,"ENST00000260247,ENST00000525420,ENST00000527260,ENST00000529281,ENST00000531571,ENST00000583974"
2,2,"ENST00000263314,ENST00000534820"
2,2,"ENST00000526659,ENST00000527022"
2,1,ENST00000339994
2,7,"ENST00000280350,ENST00000431456,ENST00000525072,ENST00000528775,ENST00000530641,ENST00000532211,ENST00000676994"
2,5,"ENST00000309737,ENST00000343202,ENST00000419822,ENST00000425599,ENST00000531450"
2,3,"ENST00000280350,ENST00000532211,ENST00000676994"
2,6,"ENST00000379554,ENST00000379556,ENST00000424273,ENST00000525218,ENST00000528567,ENST00000530161"
2,1,ENST00000343202
2,3,"ENST00000316409,ENST00000527920,ENST00000533115"
2,1,ENST00000529225
2,2,"ENST00000526555,ENST00000531743"
2,15,"ENST00000299606,ENST00000396597,ENST00000396602,ENST00000396604,ENST00000412390,ENST00000414370,ENST00000417726,ENST00000438144,ENST00000496276,ENST00000526657,ENST00000530463,ENST00000531943,ENST00000532577,ENST00000533542,ENST00000534265"
2,7,"ENST00000280350,ENST00000431456,ENST00000525744,ENST00000528775,ENST00000530641,ENST00000532211,ENST00000676994"
2,3,"ENST00000375735,ENST00000528670,ENST00000650373"
2,10,"ENST00000299606,ENST00000396602,ENST00000396604,ENST00000412390,ENST00000438144,ENST00000526657,ENST00000530463,ENST00000531943,ENST00000532577,ENST00000534265"
2,9,"ENST00000318562,ENST00000524763,ENST00000526198,ENST00000526909,ENST00000530636,ENST00000531348,ENST00000533256,ENST00000614442,ENST00000650127"
2,5,"ENST00000301873,ENST00000322147,ENST00000526825,ENST00000528516,ENST00000530866"
2,1,ENST00000525297
2,5,"ENST00000321460,ENST00000321685,ENST00000535246,ENST00000536006,ENST00000628077"
2,1,ENST00000345348
2,3,"ENST00000311445,ENST00000528852,ENST00000534826"
2,9,"ENST00000279263,ENST00000345348,ENST00000524690,ENST00000524986,ENST00000525385,ENST00000526085,ENST00000529601,ENST00000531321,ENST00000534371"
2,1,ENST00000534552
2,2,"ENST00000526325,ENST00000528309"
2,8,"ENST00000396597,ENST00000396602,ENST00000396604,ENST00000438144,ENST00000530463,ENST00000532577,ENST00000533542,ENST00000534265"
2,8,"ENST00000318562,ENST00000524763,ENST00000526198,ENST00000526909,ENST00000530636,ENST00000533256,ENST00000614442,ENST00000650127"
2,10,"ENST00000526126,ENST00000526757,ENST00000527510,ENST00000528196,ENST00000530438,ENST00000530580,ENST00000531093,ENST00000532734,ENST00000533225,ENST00000626808"
2,6,"ENST00000279281,ENST00000528588,ENST00000529180,ENST00000530773,ENST00000534124,ENST00000534557"
2,2,"ENST00000354286,ENST00000524550"
2,2,"ENST00000420986,ENST00000525785"
2,2,"ENST00000398136,ENST00000532161"
2,1,ENST00000535246
2,11,"ENST00000278407,ENST00000340687,ENST00000378323,ENST00000378324,ENST00000531133,ENST00000531605,ENST00000676670,ENST00000677624,ENST00000677625,ENST00000678533,ENST00000678592"
2,1,ENST00000535715
2,2,"ENST00000314259,ENST00000690330"
2,2,"ENST00000313503,ENST00000641311"
2,2,"ENST00000641913,ENST00000642058"
2,10,"ENST00000406246,ENST00000525658,ENST00000525693,ENST00000526283,ENST00000527749,ENST00000527909,ENST00000532999,ENST00000533546,ENST00000534558,ENST00000612991"
2,11,"ENST00000308639,ENST00000406246,ENST00000525658,ENST00000525693,ENST00000526283,ENST00000527909,ENST00000529389,ENST00000532999,ENST00000533546,ENST00000534558,ENST00000612991"
2,1,ENST00000526578
2,9,"ENST00000406246,ENST00000525658,ENST00000525693,ENST00000526283,ENST00000527749,ENST00000531238,ENST00000532999,ENST00000534558,ENST00000612991"
2,4,"ENST00000428192,ENST00000535140,ENST00000535715,ENST00000538426"
2,8,"ENST00000279263,ENST00000526809,ENST00000527968,ENST00000528802,ENST00000529292,ENST00000529601,ENST00000531321,ENST00000534371"
2,2,"ENST00000531096,ENST00000533558"
2,7,"ENST00000528737,ENST00000529985,ENST00000674617,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000682018"
2,2,"ENST00000526283,ENST00000612991"
2,1,ENST00000529839
2,6,"ENST00000314138,ENST00000524496,ENST00000526562,ENST00000530022,ENST00000531978,ENST00000534599"
2,4,"ENST00000301873,ENST00000322147,ENST00000530866,ENST00000689505"
2,1,ENST00000393150
2,1,ENST00000533252
2,1,ENST00000409991
2,1,ENST00000541252
2,2,"ENST00000279206,ENST00000534929"
2,1,ENST00000679614
2,2,"ENST00000395123,ENST00000395124"
2,2,"ENST00000530950,ENST00000649856"
2,1,ENST00000533263
2,4,"ENST00000315204,ENST00000396672,ENST00000418597,ENST00000431279"
2,7,"ENST00000330243,ENST00000397566,ENST00000469048,ENST00000525445,ENST00000528413,ENST00000532788,ENST00000533182"
2,2,"ENST00000541278,ENST00000546089"
2,1,ENST00000526395
2,4,"ENST00000284240,ENST00000524659,ENST00000524970,ENST00000528522"
2,7,"ENST00000531968,ENST00000532519,ENST00000543287,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000652093"
2,9,"ENST00000315204,ENST00000396672,ENST00000418597,ENST00000422559,ENST00000431279,ENST00000447869,ENST00000457885,ENST00000534493,ENST00000687296"
2,4,"ENST00000397510,ENST00000488769,ENST00000526170,ENST00000608174"
2,5,"ENST00000279247,ENST00000526954,ENST00000527323,ENST00000528396,ENST00000529133"
2,2,"ENST00000260187,ENST00000455332"
2,3,"ENST00000260187,ENST00000455332,ENST00000525735"
2,1,ENST00000315204
2,2,"ENST00000527850,ENST00000649896"
2,1,ENST00000531837
2,2,"ENST00000526360,ENST00000687296"
2,2,"ENST00000526793,ENST00000531837"
2,2,"ENST00000524995,ENST00000534105"
2,12,"ENST00000280346,ENST00000393051,ENST00000533297,ENST00000679368,ENST00000679815,ENST00000680010,ENST00000680331,ENST00000680411,ENST00000681316,ENST00000681328,ENST00000681339,ENST00000681638"
2,1,ENST00000341846
2,2,"ENST00000529871,ENST00000640184"
2,1,ENST00000529871
2,5,"ENST00000436863,ENST00000528974,ENST00000529871,ENST00000533400,ENST00000640184"
2,3,"ENST00000279259,ENST00000434372,ENST00000529259"
2,1,ENST00000533862
2,2,"ENST00000265840,ENST00000531234"
2,4,"ENST00000270176,ENST00000420247,ENST00000525364,ENST00000533862"
2,3,"ENST00000446369,ENST00000526568,ENST00000534497"
2,4,"ENST00000280346,ENST00000533297,ENST00000679815,ENST00000679878"
2,8,"ENST00000280346,ENST00000533297,ENST00000679815,ENST00000679878,ENST00000680010,ENST00000681316,ENST00000681328,ENST00000681339"
2,7,"ENST00000317568,ENST00000355991,ENST00000416776,ENST00000525156,ENST00000526201,ENST00000531296,ENST00000533782"
2,5,"ENST00000317568,ENST00000355991,ENST00000416776,ENST00000531296,ENST00000533782"
2,1,ENST00000527979
2,1,ENST00000538950
2,4,"ENST00000317568,ENST00000355991,ENST00000531296,ENST00000533782"
2,1,ENST00000294187
2,1,ENST00000299606
2,4,"ENST00000299606,ENST00000396597,ENST00000396602,ENST00000396604"
2,5,"ENST00000396597,ENST00000396602,ENST00000496276,ENST00000530463,ENST00000533542"
2,5,"ENST00000398802,ENST00000524438,ENST00000529962,ENST00000530936,ENST00000533629"
2,2,"ENST00000524438,ENST00000530936"
2,1,ENST00000395123
2,9,"ENST00000436863,ENST00000446369,ENST00000525825,ENST00000526568,ENST00000527979,ENST00000528974,ENST00000529871,ENST00000533400,ENST00000534497"
2,2,"ENST00000339994,ENST00000528992"
2,3,"ENST00000393100,ENST00000428149,ENST00000429370"
2,1,ENST00000420244
2,5,"ENST00000436863,ENST00000525825,ENST00000527979,ENST00000528974,ENST00000533400"
2,1,ENST00000650027
2,1,ENST00000542163
2,4,"ENST00000532519,ENST00000543287,ENST00000617285,ENST00000652093"
2,5,"ENST00000263774,ENST00000528192,ENST00000529276,ENST00000530295,ENST00000534208"
2,6,"ENST00000357685,ENST00000438022,ENST00000526088,ENST00000527939,ENST00000531169,ENST00000532593"
2,2,"ENST00000526277,ENST00000532048"
2,1,ENST00000524595
2,2,"ENST00000312006,ENST00000527878"
2,10,"ENST00000323688,ENST00000526120,ENST00000529010,ENST00000529313,ENST00000530527,ENST00000531172,ENST00000533738,ENST00000533773,ENST00000533926,ENST00000646648"
2,3,"ENST00000312175,ENST00000445560,ENST00000527348"
2,14,"ENST00000337908,ENST00000343968,ENST00000527056,ENST00000529950,ENST00000532114,ENST00000649552,ENST00000679553,ENST00000680301,ENST00000680537,ENST00000680757,ENST00000680935,ENST00000681157,ENST00000681288,ENST00000681406"
2,3,"ENST00000529313,ENST00000530964,ENST00000533738"
2,12,"ENST00000530106,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679856,ENST00000680052,ENST00000680532,ENST00000680728,ENST00000681451"
2,1,ENST00000528538
2,1,ENST00000540798
2,3,"ENST00000278520,ENST00000646818,ENST00000679696"
2,2,"ENST00000528538,ENST00000543178"
2,13,"ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679788,ENST00000679856,ENST00000680052,ENST00000680763,ENST00000681451"
2,5,"ENST00000649552,ENST00000679553,ENST00000680301,ENST00000681288,ENST00000681406"
2,6,"ENST00000452508,ENST00000601453,ENST00000638443,ENST00000682465,ENST00000684029,ENST00000684037"
2,5,"ENST00000323688,ENST00000529010,ENST00000530527,ENST00000533773,ENST00000646648"
2,3,"ENST00000309032,ENST00000394531,ENST00000394532"
2,1,ENST00000531744
2,3,"ENST00000250018,ENST00000417164,ENST00000682019"
2,6,"ENST00000526451,ENST00000527051,ENST00000527249,ENST00000529973,ENST00000530462,ENST00000533544"
2,2,"ENST00000528192,ENST00000529276"
2,1,ENST00000617306
2,1,ENST00000526592
2,1,ENST00000529903
2,12,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530139,ENST00000530995,ENST00000532450,ENST00000533340,ENST00000533842"
2,1,ENST00000524863
2,4,"ENST00000320230,ENST00000530360,ENST00000625752,ENST00000629634"
2,12,"ENST00000409459,ENST00000444541,ENST00000674528,ENST00000674924,ENST00000674950,ENST00000675196,ENST00000675320,ENST00000675362,ENST00000676027,ENST00000676146,ENST00000676378,ENST00000676440"
2,1,ENST00000530391
2,9,"ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643516,ENST00000644218,ENST00000644683,ENST00000644933,ENST00000645620,ENST00000647209"
2,25,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000481642,ENST00000674950,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675320,ENST00000675362,ENST00000675489,ENST00000675652,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000676027,ENST00000676146,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676388"
2,6,"ENST00000382409,ENST00000683307,ENST00000686001,ENST00000687329,ENST00000690068,ENST00000692634"
2,1,ENST00000299427
2,1,ENST00000674610
2,1,ENST00000531298
2,1,ENST00000675174
2,7,"ENST00000357685,ENST00000361053,ENST00000438022,ENST00000526088,ENST00000530677,ENST00000531169,ENST00000532593"
2,1,ENST00000453788
2,2,"ENST00000299427,ENST00000533371"
2,8,"ENST00000299427,ENST00000533371,ENST00000642892,ENST00000644218,ENST00000644810,ENST00000645285,ENST00000645620,ENST00000682424"
2,1,ENST00000525729
2,8,"ENST00000649552,ENST00000679385,ENST00000679553,ENST00000680301,ENST00000680560,ENST00000680935,ENST00000681288,ENST00000681406"
2,3,"ENST00000299427,ENST00000533371,ENST00000682424"
2,1,ENST00000524755
2,1,ENST00000533540
2,25,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000481642,ENST00000674950,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675320,ENST00000675362,ENST00000675489,ENST00000675652,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000676146,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676388"
