counts,number of items in equivalence class,isoforms in equivalence class
1327,7,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000448404,ENST00000681407"
1325,10,"ENST00000311604,ENST00000381775,ENST00000405957,ENST00000406638,ENST00000417766,ENST00000429923,ENST00000432093,ENST00000446808,ENST00000457279,ENST00000612798"
1323,2,"ENST00000351018,ENST00000396979"
1322,2,"ENST00000544551,ENST00000645495"
1321,1,ENST00000288937
1313,8,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000433274,ENST00000448404,ENST00000681407"
1313,2,"ENST00000227155,ENST00000342935"
1309,10,"ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000534440"
1300,4,"ENST00000279227,ENST00000345728,ENST00000541252,ENST00000544997"
1287,3,"ENST00000526070,ENST00000534980,ENST00000620157"
1279,1,ENST00000278353
1273,9,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543695,ENST00000545215"
1268,3,"ENST00000249923,ENST00000439561,ENST00000534234"
1267,2,"ENST00000325147,ENST00000382762"
1267,4,"ENST00000379965,ENST00000414641,ENST00000425490,ENST00000454828"
1266,1,ENST00000527958
1257,2,"ENST00000298229,ENST00000538751"
1256,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000545215"
1252,1,ENST00000227524
1245,1,ENST00000265462
1240,1,ENST00000302503
1234,4,"ENST00000525297,ENST00000527548,ENST00000529639,ENST00000531743"
1231,5,"ENST00000263464,ENST00000526421,ENST00000532808,ENST00000615299,ENST00000673846"
1212,1,ENST00000430553
1210,3,"ENST00000339995,ENST00000525681,ENST00000526148"
1205,3,"ENST00000345732,ENST00000389939,ENST00000534668"
1201,4,"ENST00000328221,ENST00000408968,ENST00000528780,ENST00000680588"
1200,2,"ENST00000252108,ENST00000431736"
1199,3,"ENST00000340437,ENST00000394888,ENST00000439958"
1197,1,ENST00000310137
1187,7,"ENST00000339995,ENST00000396525,ENST00000524932,ENST00000525681,ENST00000526148,ENST00000531416,ENST00000532082"
1186,8,"ENST00000227378,ENST00000453788,ENST00000525463,ENST00000526110,ENST00000528292,ENST00000532636,ENST00000534319,ENST00000534624"
1174,4,"ENST00000530165,ENST00000531863,ENST00000532677,ENST00000541961"
1169,15,"ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643342,ENST00000643439,ENST00000643516,ENST00000644218,ENST00000644683,ENST00000644810,ENST00000644933,ENST00000645285,ENST00000645620,ENST00000647152,ENST00000647209,ENST00000682424"
1168,2,"ENST00000398603,ENST00000398606"
1157,2,"ENST00000302503,ENST00000530428"
1144,1,ENST00000054950
1142,13,"ENST00000311604,ENST00000381775,ENST00000405957,ENST00000406638,ENST00000417766,ENST00000418975,ENST00000421485,ENST00000429923,ENST00000432093,ENST00000446808,ENST00000451814,ENST00000457279,ENST00000612798"
1137,1,ENST00000526562
1135,4,"ENST00000612687,ENST00000617285,ENST00000621959,ENST00000652093"
1131,2,"ENST00000308774,ENST00000544844"
1131,1,ENST00000263672
1114,1,ENST00000278505
1107,1,ENST00000332118
1102,2,"ENST00000524896,ENST00000531120"
1093,8,"ENST00000379412,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000545215"
1090,1,ENST00000264033
1089,2,"ENST00000278849,ENST00000394818"
